DOY,lon,lat,temp,rcp26,rcp85,rcp26Smoothed,rcp85Smoothed,rcp26added,rcp85added
128,-111.2764969,64.63110352,-5.546000143,2.487787724,7.192307472,1.967594537,6.820665358,-3.578405606,1.274665216
129,-110.6529999,64.92655945,-5.284273972,2.487787724,7.192307472,2.018614347,6.860610812,-3.265659625,1.576336841
130,-110.6529999,64.92655945,-5.022547801,2.487787724,7.192307472,2.069634157,6.900556267,-2.952913643,1.878008466
131,-110.6529999,64.92655945,-4.76082163,2.487787724,7.192307472,2.120653967,6.940501721,-2.640167662,2.179680091
132,-110.6856003,65.2067337,-4.499095459,2.487787724,7.192307472,2.171673778,6.980447175,-2.327421681,2.481351716
133,-110.6856003,65.2067337,-4.237369288,2.487787724,7.192307472,2.222693588,7.020392629,-2.0146757,2.783023341
134,-110.6856003,65.2067337,-3.975643117,2.487787724,7.192307472,2.273713398,7.060338083,-1.701929719,3.084694966
135,-111.3919983,65.47126007,-3.713916946,2.487787724,7.192307472,2.324733208,7.100283537,-1.389183737,3.386366592
136,-111.3919983,65.47126007,-3.452190775,2.487787724,7.192307472,2.375753018,7.140228991,-1.076437756,3.688038217
137,-111.3919983,65.47126007,-3.131138731,2.487787724,7.192307472,2.391148453,7.154732282,-0.739990278,4.023593551
138,-111.4319,65.75035858,-2.810086688,2.563974142,7.295869827,2.406543888,7.169235573,-0.4035428,4.359148885
139,-111.4319,65.75035858,-2.489034645,2.563974142,7.295869827,2.421939323,7.183738864,-0.067095322,4.694704219
140,-111.4319,65.75035858,-2.167982602,2.563974142,7.295869827,2.437334758,7.198242155,0.269352155,5.030259553
141,-111.4726028,66.02896881,-1.846930559,2.563974142,7.295869827,2.452730192,7.212745446,0.605799633,5.365814886
142,-111.4726028,66.02896881,-1.525878516,2.563974142,7.295869827,2.468125627,7.227248737,0.942247111,5.70137022
143,-111.4726028,66.02896881,-1.204826473,2.563974142,7.295869827,2.483521062,7.241752027,1.278694589,6.036925554
144,-110.822197,66.32259369,-0.88377443,2.563974142,7.295869827,2.498916497,7.256255318,1.615142067,6.372480888
145,-110.822197,66.32259369,-0.562722387,2.563974142,7.295869827,2.514311932,7.270758609,1.951589545,6.708036222
146,-110.822197,66.32259369,-0.241670344,2.563974142,7.295869827,2.529707366,7.2852619,2.288037023,7.043591556
147,-110.1588974,66.61332703,0.12132507,2.618224859,7.456746101,2.525260421,7.281569507,2.646585491,7.402894577
148,-110.1588974,66.61332703,0.484320484,2.618224859,7.456746101,2.520813476,7.277877114,3.00513396,7.762197598
149,-110.1588974,66.61332703,0.847315898,2.618224859,7.456746101,2.516366531,7.27418472,3.363682429,8.121500619
150,-110.188797,66.89063263,1.210311312,2.618224859,7.456746101,2.511919586,7.270492327,3.722230898,8.480803639
151,-110.188797,66.89063263,1.573306726,2.618224859,7.456746101,2.507472641,7.266799934,4.080779367,8.84010666
152,-110.188797,66.89063263,1.93630214,2.618224859,7.456746101,2.503025696,7.263107541,4.439327836,9.199409681
153,-110.2192001,67.16739655,2.299297554,2.451334953,7.250707626,2.498578751,7.259415147,4.797876305,9.558712702
154,-110.2192001,67.16739655,2.662292968,2.451334953,7.250707626,2.494131806,7.255722754,5.156424774,9.918015723
155,-110.2192001,67.16739655,3.025288382,2.451334953,7.250707626,2.489684861,7.252030361,5.514973243,10.27731874
156,-110.2192001,67.16739655,3.388283796,2.451334953,7.250707626,2.485237916,7.248337968,5.873521712,10.63662176
157,-110.2192001,67.16739655,3.743649986,2.451334953,7.250707626,2.475245246,7.229103625,6.218895231,10.97275361
158,-110.2192001,67.16739655,4.099016175,2.451334953,7.250707626,2.465252576,7.209869283,6.564268751,11.30888546
159,-110.2192001,67.16739655,4.454382364,2.451334953,7.250707626,2.455259906,7.190634941,6.90964227,11.6450173
160,-110.2192001,67.16739655,4.809748553,2.451334953,7.250707626,2.445267237,7.171400598,7.255015789,11.98114915
161,-110.2192001,67.16739655,5.165114742,2.451334953,7.250707626,2.435274567,7.152166256,7.600389309,12.317281
162,-110.2192001,67.16739655,5.520480931,2.451334953,7.250707626,2.425281897,7.132931913,7.945762828,12.65341284
163,-110.2192001,67.16739655,5.87584712,2.451334953,7.250707626,2.415289227,7.113697571,8.291136347,12.98954469
164,-110.2192001,67.16739655,6.231213309,2.451334953,7.250707626,2.405296558,7.094463229,8.636509867,13.32567654
165,-110.2192001,67.16739655,6.586579498,2.451334953,7.250707626,2.395303888,7.075228886,8.981883386,13.66180838
166,-110.2192001,67.16739655,6.941945687,2.451334953,7.250707626,2.385311218,7.055994544,9.327256905,13.99794023
167,-110.9313965,67.15416718,7.261115531,2.390670061,7.08197403,2.365883246,6.996262882,9.626998778,14.25737841
168,-110.9313965,67.15416718,7.580285375,2.390670061,7.08197403,2.346455275,6.936531221,9.92674065,14.5168166
169,-110.9313965,67.15416718,7.899455219,2.390670061,7.08197403,2.327027303,6.87679956,10.22648252,14.77625478
170,-111.6428986,67.13831329,8.218625064,2.331786156,6.930094719,2.307599331,6.817067898,10.52622439,15.03569296
171,-111.6428986,67.13831329,8.537794908,2.331786156,6.930094719,2.288171359,6.757336237,10.82596627,15.29513114
172,-111.6428986,67.13831329,8.856964752,2.331786156,6.930094719,2.268743387,6.697604575,11.12570814,15.55456933
